STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:047902,SANTA BARBARA CA US,19710507 04:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19710507 04:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710527 19:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710527 21:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710527 23:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710527 23:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710528 01:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710528 03:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710528 04:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710528 04:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710528 05:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710528 06:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19710601 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19710701 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19710801 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19710901 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19711001 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19711101 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19711111 12:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711111 14:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711111 15:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711111 16:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711111 18:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711201 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19711212 20:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711221 22:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 00:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 01:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 01:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 01:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 02:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 02:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 03:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 04:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 04:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 04:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 04:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 05:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 06:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 16:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 17:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 17:15,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19711222 17:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 19:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 20:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 21:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711222 22:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711223 18:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 00:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 01:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 02:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 04:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 05:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 05:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 06:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 07:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 09:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 09:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711224 11:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 10:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 10:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 11:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 12:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 12:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 13:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 13:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 14:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 20:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 20:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 20:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711225 23:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711226 20:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711226 21:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711226 22:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711226 23:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711226 23:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711226 23:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711226 23:45,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19711227 00:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 00:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 01:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 01:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 02:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 03:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 03:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 04:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 04:15,-9999,0.30
COOP:047902,SANTA BARBARA CA US,19711227 05:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 09:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 11:00,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19711227 11:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711227 13:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711228 03:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711228 10:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19711228 10:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720101 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19720127 07:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720127 08:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720127 15:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720127 16:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720201 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19720205 01:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720205 02:00,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19720205 02:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720205 03:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720205 07:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720205 08:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720205 08:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720205 09:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720205 10:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720205 11:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720301 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19720401 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19720411 07:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720411 13:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19720501 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19720501 13:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720601 00:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19720701 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19720801 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19720901 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19721001 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19721014 13:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721101 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19721104 09:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721104 10:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721110 15:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721111 00:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721111 01:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721111 02:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721111 02:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721111 03:15,-9999,0.30
COOP:047902,SANTA BARBARA CA US,19721111 03:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721111 05:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721114 01:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721114 03:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721114 03:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721114 04:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721114 04:15,-9999,0.30
COOP:047902,SANTA BARBARA CA US,19721114 04:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721114 04:45,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19721114 05:00,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19721114 05:15,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19721114 05:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721114 05:45,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19721114 06:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721114 06:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721115 02:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721115 06:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721115 20:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721115 22:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721115 22:30,-9999,0.40
COOP:047902,SANTA BARBARA CA US,19721115 22:45,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19721115 23:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 00:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 03:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 05:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 09:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 11:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 12:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 12:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 21:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 22:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 23:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 23:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721116 23:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721117 00:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721117 00:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721117 00:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721117 07:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721201 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19721204 04:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721204 05:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721204 06:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721204 06:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721204 07:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721204 08:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721206 17:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19721206 19:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730101 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19730108 11:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730108 21:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730108 22:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730109 00:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730109 02:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730109 03:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730109 17:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 04:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 08:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 09:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 09:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 10:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 11:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 11:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 11:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 12:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 12:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 13:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 13:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 13:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 13:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 14:00,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19730116 14:15,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19730116 14:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 14:45,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19730116 15:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 15:15,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19730116 15:30,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19730116 15:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 16:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730116 16:15,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19730116 16:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 06:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 07:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 07:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 08:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 08:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 09:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 09:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 10:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 11:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 11:15,-9999,0.40
COOP:047902,SANTA BARBARA CA US,19730118 11:30,-9999,0.30
COOP:047902,SANTA BARBARA CA US,19730118 11:45,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19730118 12:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 12:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 12:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 13:00,-9999,0.20
COOP:047902,SANTA BARBARA CA US,19730118 13:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 14:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 14:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 14:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 14:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 15:00,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 15:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730118 16:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730201 00:15,-9999,0.00
COOP:047902,SANTA BARBARA CA US,19730203 08:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19730214 08:15,-9999,999.99
COOP:047902,SANTA BARBARA CA US,19730224 03:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730224 05:15,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730224 05:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730224 06:30,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730224 07:45,-9999,0.10
COOP:047902,SANTA BARBARA CA US,19730224 08:15,-9999,0.10
